uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
GO,OUTRAS,HOSPITAL,"< 9",I,1
GO,OUTRAS,HOSPITAL,"< 9",M,33
GO,OUTRAS,OUTRO,"< 9",M,2
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
GO,OUTRAS,VIA_PUBLICA,"< 9",F,1
GO,COVID,HOSPITAL,"< 9",F,2
GO,COVID,HOSPITAL,"< 9",M,1
GO,COVID,OUTRO,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,8
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,17
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,PNEUMONIA,HOSPITAL,"< 9",F,6
GO,PNEUMONIA,HOSPITAL,"< 9",M,2
GO,PNEUMONIA,IGNORADO,"< 9",F,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,SEPTICEMIA,HOSPITAL,"< 9",F,20
GO,SEPTICEMIA,HOSPITAL,"< 9",M,34
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
GO,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,OUTRAS,DOMICILIO,"< 9",F,3
MA,OUTRAS,DOMICILIO,"< 9",M,2
MA,OUTRAS,HOSPITAL,"< 9",F,37
MA,OUTRAS,HOSPITAL,"< 9",I,1
MA,OUTRAS,HOSPITAL,"< 9",M,54
MA,OUTRAS,OUTRO,"< 9",F,4
MA,OUTRAS,VIA_PUBLICA,"< 9",F,1
MA,OUTRAS,VIA_PUBLICA,"< 9",M,2
MA,COVID,HOSPITAL,"< 9",M,2
MA,INDETERMINADA,HOSPITAL,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,3
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,9
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,PNEUMONIA,DOMICILIO,"< 9",M,2
MA,PNEUMONIA,HOSPITAL,"< 9",F,2
MA,PNEUMONIA,HOSPITAL,"< 9",M,5
MA,SEPTICEMIA,HOSPITAL,"< 9",F,14
MA,SEPTICEMIA,HOSPITAL,"< 9",M,8
MA,SRAG,HOSPITAL,"< 9",F,1
MA,SRAG,HOSPITAL,"< 9",M,1
MA,SRAG,OUTRO,"< 9",M,1
MG,OUTRAS,DOMICILIO,"< 9",F,11
MG,OUTRAS,DOMICILIO,"< 9",M,9
MG,OUTRAS,HOSPITAL,"< 9",F,140
MG,OUTRAS,HOSPITAL,"< 9",I,3
MG,OUTRAS,HOSPITAL,"< 9",M,168
MG,OUTRAS,IGNORADO,"< 9",F,4
MG,OUTRAS,IGNORADO,"< 9",M,7
MG,OUTRAS,OUTRO,"< 9",F,1
MG,OUTRAS,OUTRO,"< 9",M,3
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,4
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,10
MG,OUTRAS,VIA_PUBLICA,"< 9",F,1
MG,OUTRAS,VIA_PUBLICA,"< 9",M,2
MG,COVID,HOSPITAL,"< 9",F,7
MG,COVID,HOSPITAL,"< 9",M,5
MG,INDETERMINADA,DOMICILIO,"< 9",M,1
MG,INDETERMINADA,HOSPITAL,"< 9",F,4
MG,INDETERMINADA,HOSPITAL,"< 9",M,6
MG,INDETERMINADA,OUTRO,"< 9",F,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,22
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,37
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,HOSPITAL,"< 9",F,11
MG,PNEUMONIA,HOSPITAL,"< 9",M,10
MG,PNEUMONIA,IGNORADO,"< 9",F,1
MG,PNEUMONIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,SEPTICEMIA,HOSPITAL,"< 9",F,66
MG,SEPTICEMIA,HOSPITAL,"< 9",M,76
MG,SEPTICEMIA,IGNORADO,"< 9",F,3
MG,SEPTICEMIA,IGNORADO,"< 9",M,2
MG,SEPTICEMIA,OUTRO,"< 9",F,1
MG,SRAG,HOSPITAL,"< 9",F,1
MS,OUTRAS,DOMICILIO,"< 9",F,5
MS,OUTRAS,DOMICILIO,"< 9",M,1
MS,OUTRAS,HOSPITAL,"< 9",F,47
MS,OUTRAS,HOSPITAL,"< 9",M,47
MS,OUTRAS,OUTRO,"< 9",F,1
MS,OUTRAS,POSTO_SAUDE,"< 9",F,1
MS,OUTRAS,VIA_PUBLICA,"< 9",M,2
MS,COVID,HOSPITAL,"< 9",F,2
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,7
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,8
MS,PNEUMONIA,HOSPITAL,"< 9",F,3
MS,PNEUMONIA,HOSPITAL,"< 9",M,6
MS,SEPTICEMIA,HOSPITAL,"< 9",F,9
MS,SEPTICEMIA,HOSPITAL,"< 9",M,9
MT,OUTRAS,DOMICILIO,"< 9",F,2
MT,OUTRAS,DOMICILIO,"< 9",M,1
MT,OUTRAS,HOSPITAL,"< 9",F,25
MT,OUTRAS,HOSPITAL,"< 9",M,28
MT,OUTRAS,IGNORADO,"< 9",F,7
MT,OUTRAS,IGNORADO,"< 9",M,9
MT,OUTRAS,OUTRO,"< 9",F,1
MT,OUTRAS,OUTRO,"< 9",M,4
MT,COVID,IGNORADO,"< 9",F,1
MT,INDETERMINADA,IGNORADO,"< 9",M,2
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,5
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,5
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,3
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,6
MT,PNEUMONIA,HOSPITAL,"< 9",F,1
MT,PNEUMONIA,HOSPITAL,"< 9",M,3
MT,PNEUMONIA,IGNORADO,"< 9",F,2
MT,PNEUMONIA,IGNORADO,"< 9",M,2
MT,SEPTICEMIA,HOSPITAL,"< 9",F,10
MT,SEPTICEMIA,HOSPITAL,"< 9",M,13
MT,SEPTICEMIA,IGNORADO,"< 9",F,11
MT,SEPTICEMIA,IGNORADO,"< 9",M,8
MT,SEPTICEMIA,OUTRO,"< 9",F,1
PA,OUTRAS,DOMICILIO,"< 9",F,4
PA,OUTRAS,DOMICILIO,"< 9",M,3
PA,OUTRAS,HOSPITAL,"< 9",F,37
PA,OUTRAS,HOSPITAL,"< 9",I,2
PA,OUTRAS,HOSPITAL,"< 9",M,52
PA,OUTRAS,OUTRO,"< 9",F,4
PA,OUTRAS,OUTRO,"< 9",M,5
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
PA,OUTRAS,VIA_PUBLICA,"< 9",F,2
PA,OUTRAS,VIA_PUBLICA,"< 9",M,1
PA,COVID,HOSPITAL,"< 9",F,1
PA,COVID,HOSPITAL,"< 9",M,2
PA,COVID,OUTRO,"< 9",F,1
PA,INDETERMINADA,DOMICILIO,"< 9",F,1
PA,INDETERMINADA,VIA_PUBLICA,"< 9",M,1
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,9
PA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,17
PA,PNEUMONIA,DOMICILIO,"< 9",M,1
PA,PNEUMONIA,HOSPITAL,"< 9",F,6
PA,PNEUMONIA,HOSPITAL,"< 9",M,14
PA,SEPTICEMIA,HOSPITAL,"< 9",F,15
PA,SEPTICEMIA,HOSPITAL,"< 9",M,16
PA,SRAG,HOSPITAL,"< 9",M,3
PB,OUTRAS,DOMICILIO,"< 9",F,9
PB,OUTRAS,DOMICILIO,"< 9",M,7
PB,OUTRAS,HOSPITAL,"< 9",F,42
PB,OUTRAS,HOSPITAL,"< 9",I,1
PB,OUTRAS,HOSPITAL,"< 9",M,35
PB,OUTRAS,OUTRO,"< 9",F,1
PB,OUTRAS,OUTRO,"< 9",M,2
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,6
PB,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,8
PB,COVID,HOSPITAL,"< 9",M,4
PB,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PB,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,5
PB,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,4
PB,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PB,PNEUMONIA,HOSPITAL,"< 9",F,3
PB,PNEUMONIA,HOSPITAL,"< 9",M,9
PB,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PB,SEPTICEMIA,HOSPITAL,"< 9",F,9
PB,SEPTICEMIA,HOSPITAL,"< 9",M,25
PB,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
PB,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
PE,OUTRAS,DOMICILIO,"< 9",F,4
PE,OUTRAS,DOMICILIO,"< 9",M,6
PE,OUTRAS,HOSPITAL,"< 9",F,163
PE,OUTRAS,HOSPITAL,"< 9",I,5
PE,OUTRAS,HOSPITAL,"< 9",M,170
PE,OUTRAS,IGNORADO,"< 9",F,1
PE,OUTRAS,OUTRO,"< 9",M,2
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
PE,OUTRAS,VIA_PUBLICA,"< 9",F,1
PE,OUTRAS,VIA_PUBLICA,"< 9",M,5
PE,COVID,HOSPITAL,"< 9",F,6
PE,COVID,HOSPITAL,"< 9",M,5
PE,INDETERMINADA,DOMICILIO,"< 9",F,1
PE,INDETERMINADA,DOMICILIO,"< 9",M,1
PE,INDETERMINADA,HOSPITAL,"< 9",F,2
PE,INDETERMINADA,HOSPITAL,"< 9",M,4
PE,INDETERMINADA,OUTRO,"< 9",F,1
PE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,15
PE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,14
PE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
PE,PNEUMONIA,HOSPITAL,"< 9",F,4
PE,PNEUMONIA,HOSPITAL,"< 9",M,7
PE,SEPTICEMIA,HOSPITAL,"< 9",F,36
PE,SEPTICEMIA,HOSPITAL,"< 9",I,1
PE,SEPTICEMIA,HOSPITAL,"< 9",M,46
PE,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
PE,SRAG,HOSPITAL,"< 9",F,2
PE,SRAG,HOSPITAL,"< 9",M,4
PE,SRAG,VIA_PUBLICA,"< 9",M,1
PI,OUTRAS,HOSPITAL,"< 9",F,10
PI,OUTRAS,HOSPITAL,"< 9",M,4
PI,OUTRAS,IGNORADO,"< 9",F,1
PI,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
PI,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
PI,OUTRAS,VIA_PUBLICA,"< 9",F,1
PI,COVID,HOSPITAL,"< 9",F,2
PI,COVID,OUTRO,"< 9",F,1
PI,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
PI,PNEUMONIA,HOSPITAL,"< 9",F,1
PI,PNEUMONIA,HOSPITAL,"< 9",M,1
PI,SEPTICEMIA,HOSPITAL,"< 9",F,3
PI,SEPTICEMIA,HOSPITAL,"< 9",M,7
PI,SEPTICEMIA,OUTRO,"< 9",M,1
PR,OUTRAS,DOMICILIO,"< 9",F,1
PR,OUTRAS,DOMICILIO,"< 9",M,5
PR,OUTRAS,HOSPITAL,"< 9",F,51
PR,OUTRAS,HOSPITAL,"< 9",M,101
PR,COVID,HOSPITAL,"< 9",F,6
PR,COVID,HOSPITAL,"< 9",M,8
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,9
PR,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,13
PR,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
PR,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
PR,PNEUMONIA,HOSPITAL,"< 9",F,7
PR,PNEUMONIA,HOSPITAL,"< 9",M,7
PR,SEPTICEMIA,HOSPITAL,"< 9",F,31
PR,SEPTICEMIA,HOSPITAL,"< 9",I,1
PR,SEPTICEMIA,HOSPITAL,"< 9",M,37
PR,SEPTICEMIA,OUTRO,"< 9",F,1
PR,SEPTICEMIA,OUTRO,"< 9",M,1
RJ,OUTRAS,DOMICILIO,"< 9",F,6
RJ,OUTRAS,DOMICILIO,"< 9",M,6
RJ,OUTRAS,HOSPITAL,"< 9",F,215
RJ,OUTRAS,HOSPITAL,"< 9",I,6
RJ,OUTRAS,HOSPITAL,"< 9",M,240
RJ,OUTRAS,IGNORADO,"< 9",F,1
RJ,OUTRAS,IGNORADO,"< 9",M,1
RJ,OUTRAS,OUTRO,"< 9",F,1
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
RJ,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,10
RJ,OUTRAS,VIA_PUBLICA,"< 9",M,2
RJ,COVID,HOSPITAL,"< 9",F,3
RJ,COVID,HOSPITAL,"< 9",M,11
RJ,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
RJ,INDETERMINADA,DOMICILIO,"< 9",F,1
RJ,INDETERMINADA,HOSPITAL,"< 9",F,2
RJ,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
RJ,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,19
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
RJ,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,11
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
RJ,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
RJ,PNEUMONIA,HOSPITAL,"< 9",F,20
RJ,PNEUMONIA,HOSPITAL,"< 9",M,19
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
RJ,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,5
RJ,SEPTICEMIA,HOSPITAL,"< 9",F,80
RJ,SEPTICEMIA,HOSPITAL,"< 9",M,121
RJ,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
RJ,SRAG,HOSPITAL,"< 9",F,2
RJ,SRAG,HOSPITAL,"< 9",M,5
RN,OUTRAS,DOMICILIO,"< 9",F,1
RN,OUTRAS,HOSPITAL,"< 9",F,10
RN,OUTRAS,HOSPITAL,"< 9",M,34
RN,OUTRAS,VIA_PUBLICA,"< 9",M,1
RN,COVID,HOSPITAL,"< 9",F,3
RN,COVID,HOSPITAL,"< 9",M,2
RN,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
RN,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,5
RN,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,4
RN,PNEUMONIA,HOSPITAL,"< 9",F,1
RN,PNEUMONIA,HOSPITAL,"< 9",M,1
RN,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
RN,SEPTICEMIA,HOSPITAL,"< 9",F,9
RN,SEPTICEMIA,HOSPITAL,"< 9",M,16
RN,SEPTICEMIA,IGNORADO,"< 9",M,1
RO,OUTRAS,DOMICILIO,"< 9",F,1
RO,OUTRAS,HOSPITAL,"< 9",F,10
RO,OUTRAS,HOSPITAL,"< 9",M,10
RO,OUTRAS,VIA_PUBLICA,"< 9",M,1
RO,COVID,HOSPITAL,"< 9",M,1
RO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
RO,PNEUMONIA,HOSPITAL,"< 9",F,1
RO,PNEUMONIA,HOSPITAL,"< 9",M,2
RO,SEPTICEMIA,HOSPITAL,"< 9",F,9
RO,SEPTICEMIA,HOSPITAL,"< 9",M,16
RR,OUTRAS,HOSPITAL,"< 9",F,10
RR,OUTRAS,HOSPITAL,"< 9",M,8
RR,COVID,HOSPITAL,"< 9",M,2
